"PERIOD","SECTOR","CLASSIFICATION","UNIT_MEAS","VALUE","STATUS"
"2001","S2","P61XF11","AC","2.22884920978768","A"
"2001","S2","P61XF11","ACPP","2.04499599925268","A"
"2001","S2","P62","MCHF","78592.097141507","A"
"2001","S2","P62","AC","-3.35814286078499","A"
"2001","S2","P62","ACPP","-3.38062973682743","A"
"2002","S1","B1GQ","MCHF","489292.797185404","A"
"2002","S1","B1GQ","AC","-0.0779004531298081","A"
"2002","S1","B1GQ","ACPP","0.380410211238838","A"
"2002","S1","P3","MCHF","332959.3122057","A"
"2002","S1","P3","AC","0.239990436550697","A"
"2002","S1","P3","ACPP","0.454020387065143","A"
"2002","S1","P5","MCHF","133326.248703568","A"
"2002","S1","P5","AC","-4.5058388094777","A"
"2002","S1","P5","ACPP","0.0471135828657797","A"
"2002","S1","P51G","MCHF","132601.849284853","A"
"2002","S1","P51G","AC","0.611284389257577","A"
"2002","S1","P51G","ACPP","1.15764502058525","A"
"2002","S1","P5111_N113T117G","MCHF","88387.1462551332","A"
"2002","S1","P5111_N113T117G","AC","0.420250463837991","A"
"2002","S1","P5111_N113T117G","ACPP","0.678219547975854","A"
"2002","S1","P5111_N111_112G","MCHF","44214.7030297196","A"
"2002","S1","P5111_N111_112G","AC","0.995356707385169","A"
"2002","S1","P5111_N111_112G","ACPP","2.12152644756273","A"
"2002","S1","P52","MCHF","2143.05185985235","A"
"2002","S1","P52","AC","-69.5066021753912","A"
"2002","S1","P52","ACPP","-14.4286325299595","A"
"2002","S1","P53","MCHF","-1418.65244113735","A"
"2002","S1","P53","AC","-278.884955607398","A"
"2002","S1","P53","ACPP","-56.2283528131839","A"
"2002","S13","P3","MCHF","58445.36804239","A"
"2002","S13","P3","AC","3.23998360809547","A"
"2002","S13","P3","ACPP","2.05471045342566","A"
"2002","S14_S15","P3","MCHF","274513.94416331","A"
"2002","S14_S15","P3","AC","-0.376349739191162","A"
"2002","S14_S15","P3","ACPP","0.125163106266457","A"
"2002","S2","P7","MCHF","210879.111950411","A"
"2002","S2","P7","AC","-5.9282627463279","A"
"2002","S2","P7","ACPP","-2.2374641126768","A"
"2002","S2","P71","MCHF","148581.273460273","A"
"2002","S2","P71","AC","-7.74597259066155","A"
"2002","S2","P71","ACPP","-3.12412283818486","A"
"2002","S2","P71XF11","MCHF","131936.060284047","A"
"2002","S2","P71XF11","AC","-8.05975691573344","A"
"2002","S2","P71XF11","ACPP","-2.28884775344173","A"
"2002","S2","P72","MCHF","62297.8384901376","A"
"2002","S2","P72","AC","-1.28959511465107","A"
"2002","S2","P72","ACPP","0.0252265709761806","A"
"2002","S2","P6","MCHF","233886.348226547","A"
"2002","S2","P6","AC","-3.37803459004403","A"
"2002","S2","P6","ACPP","-1.9527035541017","A"
"2002","S2","P61","MCHF","159321.367826921","A"
"2002","S2","P61","AC","-2.53859117201965","A"
"2002","S2","P61","ACPP","-0.948365372643257","A"
"2002","S2","P61XF11","MCHF","140749.382408921","A"
"2002","S2","P61XF11","AC","-0.751641122715062","A"
"2002","S2","P61XF11","ACPP","1.73815537245559","A"
"2002","S2","P62","MCHF","74564.9803996263","A"
"2002","S2","P62","AC","-5.12407339713789","A"
"2002","S2","P62","ACPP","-4.04172278115052","A"
"2003","S1","B1GQ","MCHF","493651.675297047","A"
"2003","S1","B1GQ","AC","0.89085270347668","A"
"2003","S1","B1GQ","ACPP","-0.284222454587558","A"
"2003","S1","P3","MCHF","338989.938250859","A"
"2003","S1","P3","AC","1.81122011731972","A"
"2003","S1","P3","ACPP","0.673184861862331","A"
"2003","S1","P5","MCHF","132058.725895676","A"
"2003","S1","P5","AC","-0.950692620708139","A"
"2003","S1","P5","ACPP","0.34694675336732","A"
"2003","S1","P51G","MCHF","131161.358807153","A"
"2003","S1","P51G","AC","-1.08632759306801","A"
"2003","S1","P51G","ACPP","-0.685564550681825","A"
"2003","S1","P5111_N113T117G","MCHF","86795.2888399837","A"
"2003","S1","P5111_N113T117G","AC","-1.8010055563448","A"
"2003","S1","P5111_N113T117G","ACPP","-1.93764362125271","A"
"2003","S1","P5111_N111_112G","MCHF","44366.0699671694","A"
"2003","S1","P5111_N111_112G","AC","0.342345254129696","A"
"2003","S1","P5111_N111_112G","ACPP","1.81739687052584","A"
"2003","S1","P52","MCHF","2306.8092480265","A"
"2003","S1","P52","AC","7.64131709745152","A"
"2003","S1","P52","ACPP","58.7631778133406","A"
"2003","S1","P53","MCHF","-1409.44215950348","A"
"2003","S1","P53","AC","0.649227489890645","A"
"2003","S1","P53","ACPP","7.91716034279602","A"
"2003","S13","P3","MCHF","60038.41432123","A"
"2003","S13","P3","AC","2.72570150928738","A"
"2003","S13","P3","ACPP","1.78804173130771","A"
"2003","S14_S15","P3","MCHF","278951.523929629","A"
"2003","S14_S15","P3","AC","1.61652253398069","A"
"2003","S14_S15","P3","ACPP","0.435826354454206","A"
"2003","S2","P7","MCHF","210222.738601499","A"
"2003","S2","P7","AC","-0.311255744033471","A"
"2003","S2","P7","ACPP","0.325223092508905","A"
"2003","S2","P71","MCHF","147800.495988078","A"
"2003","S2","P71","AC","-0.525488477795464","A"
"2003","S2","P71","ACPP","1.32362743142099","A"
"2003","S2","P71XF11","MCHF","131669.438025252","A"
"2003","S2","P71XF11","AC","-0.202084447740486","A"
"2003","S2","P71XF11","ACPP","2.04542662051224","A"
"2003","S2","P72","MCHF","62422.2426134207","A"
"2003","S2","P72","AC","0.199692519513008","A"
"2003","S2","P72","ACPP","-2.05598613880819","A"
"2003","S2","P6","MCHF","232825.749752011","A"
"2003","S2","P6","AC","-0.45346745655645","A"
"2003","S2","P6","ACPP","-1.45748361628607","A"
"2003","S2","P61","MCHF","159047.290875861","A"
"2003","S2","P61","AC","-0.172027741662907","A"
"2003","S2","P61","ACPP","-0.242947555274931","A"
"2003","S2","P61XF11","MCHF","140808.861662861","A"
"2003","S2","P61XF11","AC","0.0422589804110548","A"
"2003","S2","P61XF11","ACPP","0.127505951918956","A"
"2003","S2","P62","MCHF","73778.4588761497","A"
"2003","S2","P62","AC","-1.05481355894051","A"
"2003","S2","P62","ACPP","-4.05255633646056","A"
"2004","S1","B1GQ","MCHF","508607.552802168","A"
"2004","S1","B1GQ","AC","3.02964180079439","A"
"2004","S1","B1GQ","ACPP","2.58692894953165","A"
"2004","S1","P3","MCHF","347296.41098448","A"
"2004","S1","P3","AC","2.45035967040224","A"
"2004","S1","P3","ACPP","1.81796124411172","A"
"2004","S1","P5","MCHF","127435.471326788","A"
"2004","S1","P5","AC","-3.50090805248306","A"
"2004","S1","P5","ACPP","-4.3175648662201","A"
"2004","S1","P51G","MCHF","139210.731927674","A"
"2004","S1","P51G","AC","6.13700040448331","A"
"2004","S1","P51G","ACPP","5.59985173586954","A"
"2004","S1","P5111_N113T117G","MCHF","92430.1378981012","A"
"2004","S1","P5111_N113T117G","AC","6.49211395391053","A"
"2004","S1","P5111_N113T117G","ACPP","6.43685047769896","A"
"2004","S1","P5111_N111_112G","MCHF","46780.5940295727","A"
"2004","S1","P5111_N111_112G","AC","5.44227619031838","A"
"2004","S1","P5111_N111_112G","ACPP","3.96239438141946","A"
"2004","S1","P52","MCHF","-1793.82728129361","A"
"2004","S1","P52","AC","-177.762271970612","A"
